Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"El procedimiento de adjudicación en el que todo empresario interesado podrá presentar una proposición, quedando excluida toda negociación de los términos del contrato con los licitadores, se denomina:",Procedimiento negociado.,Procedimiento restringido.,Procedimiento abierto.,Diálogo competitivo.,3
El presupuesto base de licitación (PBL) es:,"El límite máximo de gasto que en virtud del contrato puede comprometer el órgano de contratación, incluyendo el IVA.",El importe por el que finalmente se adjudica el contrato sin IVA.,El valor estimado del contrato sumando posibles prórrogas.,La garantía definitiva exigida al contratista.,1
¿Cuál es el porcentaje general de la garantía definitiva que debe prestar el adjudicatario respecto al precio final ofertado (excluido IVA)?,2%.,3%.,5%.,10%.,3
"En caso de modificación de un contrato público no prevista en el pliego, esta no podrá superar (por regla general y para ser considerada no sustancial) un determinado porcentaje del precio inicial. Este es:",El 50%.,El 20%.,El 15%.,No hay límite si está justificada.,1
"El perfeccionamiento de los contratos del sector público se produce, con carácter general:",Con la adjudicación.,Con la firma del acta de replanteo.,Con la formalización del contrato.,Con la publicación en el BOE.,3
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Es competencia exclusiva del Consejo de Ministros.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",4
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Supone una vulneración del principio de tipicidad sancionadora.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Determinará el archivo automático de las actuaciones sin recurso posible.,1
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,3
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Es competencia exclusiva del Consejo de Ministros.,Supone una vulneración del principio de tipicidad sancionadora.,2
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,1
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Supone una vulneración del principio de tipicidad sancionadora.,Determinará el archivo automático de las actuaciones sin recurso posible.,2
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es un trámite de carácter meramente facultativo y no vinculante.,Supone una vulneración del principio de tipicidad sancionadora.,1
"En relación con el contenido específico del Contratos: Adjudicación (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Es un trámite de carácter meramente facultativo y no vinculante.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: adjudicación.",4
