Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
¿Cuál de los siguientes es un impuesto de exacción obligatoria por los Ayuntamientos?,Impuesto sobre Vehículos de Tracción Mecánica (IVTM),Impuesto sobre el Incremento de Valor de los Terrenos de Naturaleza Urbana,"Impuesto sobre Construcciones, Instalaciones y Obras",Contribuciones especiales,1
El hecho imponible de una tasa local puede consistir en...,La realización de actividades que beneficien a un sector sin que se solicite,La prestación de un servicio público de solicitud voluntaria prestado por el sector privado,La utilización privativa o el aprovechamiento especial del dominio público local,El incremento de valor de un terreno,3
"En los precios públicos locales, el importe exigido...",No puede exceder del coste del servicio,Deberá cubrir como mínimo el coste del servicio prestado,Se establece libremente sin relación al coste,Es coactivo y obligatorio,2
La base imponible del IBI se constituye por...,El valor catastral,El valor de mercado,El valor de adquisición,El mayor de los tres anteriores,1
"¿Quién es el sujeto pasivo del Impuesto sobre Construcciones, Instalaciones y Obras (ICIO)?",El Ayuntamiento,"El dueño de la obra, independientemente de si es propietario del inmueble",El constructor exclusivamente,El arquitecto,2
Tributos Locales (Aplicación práctica 1): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 2): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 3): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 4): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 5): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 6): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 7): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 8): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 9): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 10): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 11): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 12): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 13): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 14): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
Tributos Locales (Aplicación práctica 15): Si el Ayuntamiento decide financiar la ampliación del alumbrado público...,Debe cobrar un precio público,Puede imponer una contribución especial a los propietarios beneficiados,Está obligado a financiarlo con el IBI,Debe cobrar una tasa por aprovechamiento,2
