Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Según la Ley General de Subvenciones, NO tiene el carácter de subvención:",Toda disposición dineraria realizada por las Administraciones Públicas a favor de personas públicas o privadas.,La aportación dineraria sin contraprestación directa de los beneficiarios.,Las prestaciones contributivas y no contributivas del Sistema de la Seguridad Social.,La entrega de fondos condicionada al cumplimiento de un objetivo de interés público.,3
El procedimiento ordinario de concesión de subvenciones se tramitará en régimen de:,Concesión directa.,Concurrencia competitiva.,Sorteo público.,Concierto económico.,2
¿Cuál es el plazo de prescripción para reconocer o liquidar el reintegro de una subvención?,2 años.,4 años.,5 años.,10 años.,2
¿Qué requisito previo NO es obligatorio para la concesión de subvenciones?,La aprobación de un Plan Estratégico de Subvenciones.,La existencia de crédito adecuado y suficiente en el presupuesto.,La aprobación de las bases reguladoras de la concesión.,El pago por adelantado del 100% al beneficiario antes de la justificación.,4
La justificación del cumplimiento de las condiciones impuestas y de la consecución de los objetivos previstos en el acto de concesión de la subvención revestirá la forma de:,"Cuenta justificativa del gasto realizado, u otra forma prevista en la normativa.",Declaración responsable únicamente en todo caso.,Certificado notarial obligatorio.,No se requiere justificación si el importe es inferior a 10.000 euros.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",4
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,2
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Supone una vulneración del principio de tipicidad sancionadora.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Es un trámite de carácter meramente facultativo y no vinculante.,2
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,3
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Supone una vulneración del principio de tipicidad sancionadora.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Es un trámite de carácter meramente facultativo y no vinculante.,Supone una vulneración del principio de tipicidad sancionadora.,2
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 15), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 16), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 17), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Es un trámite de carácter meramente facultativo y no vinculante.,2
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 18), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,1
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 19), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",Es competencia exclusiva del Consejo de Ministros.,3
"En relación con el contenido específico del Subvenciones (Pregunta avanzada 20), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el subvenciones.",4
