Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"En el ámbito de Sesiones y Acuerdos (1), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre Sesiones y Acuerdos (2), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a Sesiones y Acuerdos (3), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con Sesiones y Acuerdos (4), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de Sesiones y Acuerdos (5), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre Sesiones y Acuerdos (6), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a Sesiones y Acuerdos (7), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con Sesiones y Acuerdos (8), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de Sesiones y Acuerdos (9), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre Sesiones y Acuerdos (10), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a Sesiones y Acuerdos (11), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con Sesiones y Acuerdos (12), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de Sesiones y Acuerdos (13), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre Sesiones y Acuerdos (14), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a Sesiones y Acuerdos (15), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con Sesiones y Acuerdos (16), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de Sesiones y Acuerdos (17), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre Sesiones y Acuerdos (18), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a Sesiones y Acuerdos (19), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con Sesiones y Acuerdos (20), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
