Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según la Ley 31/1995 de PRL, NO se aplicará dicha Ley a...",El personal civil al servicio de las Administraciones Públicas.,Los trabajadores autónomos sin trabajadores a su cargo.,"Las actividades en las que las particularidades inherentes a su función pública lo impidan, tales como policía, seguridad y resguardo aduanero.",Los centros sanitarios de titularidad privada.,3
¿A partir de qué número de trabajadores es obligatoria la constitución de un Comité de Seguridad y Salud en una empresa o centro de trabajo?,A partir de 30 trabajadores.,A partir de 50 trabajadores.,A partir de 100 trabajadores.,A partir de 250 trabajadores.,2
¿Qué son los Delegados de Prevención?,Representantes de la Administración Pública que inspeccionan las empresas.,Los representantes de los trabajadores con funciones específicas en materia de prevención de riesgos en el trabajo.,Técnicos externos de un Servicio de Prevención Ajeno.,Directivos de la empresa designados para vigilar las normas de seguridad.,2
"En una empresa que cuenta con 250 trabajadores, ¿cuántos Delegados de Prevención corresponden según la escala legal del art. 35 LPRL?",2 Delegados de Prevención.,3 Delegados de Prevención.,4 Delegados de Prevención.,5 Delegados de Prevención.,2
El Comité de Seguridad y Salud está formado por:,Exclusivamente por los Delegados de Prevención.,"Los Delegados de Prevención, de una parte, y el empresario y/o sus representantes en número igual al de los Delegados de Prevención, de la otra.",Técnicos de Prevención de la Mutua y la representación legal de los trabajadores.,"Inspectores de Trabajo, el empresario y un Delegado de Prevención.",2
"En caso de que los trabajadores estén expuestos a un riesgo grave e inminente, el artículo 21 LPRL establece que...",El trabajador puede negarse a ir a trabajar hasta que el Inspector de Trabajo acuda al centro.,"Los representantes de los trabajadores pueden acordar, por mayoría de sus miembros, la paralización de la actividad de los trabajadores afectados.",Solo el Juez de lo Social puede paralizar la actividad tras denuncia sindical.,El trabajador deberá continuar la actividad pero percibirá un plus de peligrosidad.,2
"Por regla general, la vigilancia de la salud de los trabajadores (art. 22 LPRL) es:",Obligatoria y preceptiva para todos los trabajadores cada seis meses.,"Voluntaria para el trabajador, requiriendo su consentimiento, salvo excepciones justificadas (evaluar efectos de condiciones de trabajo sobre su salud, peligro para otros, o norma legal).",Decisión discrecional y exclusiva del empresario sin contar con el trabajador.,Obligatoria sólo para los mayores de 55 años.,2
"Según la LPRL, ¿quién tiene el deber fundamental de proteger a los trabajadores frente a los riesgos laborales?",La Inspección de Trabajo y Seguridad Social.,El Instituto Nacional de Seguridad y Salud en el Trabajo.,El empresario.,El propio trabajador.,3
"En la evaluación de riesgos (art. 16 LPRL), si los resultados pusieran de manifiesto situaciones de riesgo, el empresario realizará:",El cierre temporal del centro de trabajo.,"Aquellas actividades preventivas necesarias para eliminar o reducir y controlar tales riesgos, a través de una planificación de la actividad preventiva.",Un informe a la Inspección de Trabajo para que decida qué medidas tomar y eludirá cualquier responsabilidad.,El pago inmediato de una indemnización por daños y perjuicios al trabajador.,2
"Según el artículo 26 de la LPRL, sobre protección a la maternidad, si tras la evaluación de riesgos resulta que el puesto supone un riesgo para la embarazada y no es posible la adaptación de condiciones o tiempo de trabajo:",La trabajadora será despedida por ineptitud sobrevenida temporal.,Deberá desempeñar un puesto de trabajo o función diferente compatible con su estado.,Pasará directamente y en todo caso a la situación de excedencia voluntaria.,El contrato quedará rescindido de mutuo acuerdo con indemnización de 20 días por año.,2
¿Qué órgano científico técnico especializado de la Administración General del Estado tiene como misión el análisis y estudio de las condiciones de seguridad y salud en el trabajo?,La Inspección de Trabajo y Seguridad Social.,La Comisión Nacional de Seguridad y Salud en el Trabajo.,El Instituto Nacional de Seguridad y Salud en el Trabajo (INSST).,El Observatorio Estatal de Prevención de Riesgos.,3
Los equipos de protección individual (EPIs) deberán utilizarse (art. 17 LPRL):,Como primera medida preventiva antes de evaluar los riesgos.,Cuando los riesgos no se puedan evitar o no puedan limitarse suficientemente por medios técnicos de protección colectiva o mediante medidas de organización del trabajo.,Como sustituto integral de las medidas de protección colectiva por ser más económicos.,Sólo cuando el trabajador lo solicite expresamente y por escrito.,2
