pregunta,res1,res2,res3,res4,sol
¿Cuál es la edad mínima establecida en la LOPDGDD para que un menor preste su consentimiento válido para el tratamiento de sus datos personales sin autorización parental?,13 años.,14 años.,"16 años, tal como prevé el RGPD por defecto.",18 años.,2
"Según el RGPD, para que el consentimiento sea válido, este debe ser:","Libre, específico, informado, inequívoco y manifestado mediante una clara acción afirmativa.","Libre, genérico, tácito, expreso y documentado.","Libre, específico, presunto en caso de silencio, e irrevocable.","Específico, retroactivo, informado e inequívoco.",1
¿Cuál es el plazo máximo que establece el RGPD para que el responsable del tratamiento notifique una violación de seguridad de datos a la Autoridad de Control?,24 horas desde que se produzca la brecha.,72 horas después de que haya tenido constancia de ella.,15 días hábiles.,"Un mes, prorrogable a dos por su complejidad.",2
¿Qué derecho ARCO-POL NO es aplicable si el tratamiento de datos se basa en el cumplimiento de una obligación legal por parte del responsable?,El derecho de acceso.,El derecho de limitación del tratamiento.,El derecho a la portabilidad de los datos y el derecho de oposición.,El derecho de rectificación.,3
"Según la LOPDGDD, ¿cuál es el plazo de prescripción de las infracciones muy graves en materia de protección de datos?",1 año.,2 años.,3 años.,5 años.,3
El derecho a la limitación del tratamiento (art. 18 RGPD) implica:,La supresión definitiva de los datos de forma inmediata.,El derecho a recibir los datos personales y transmitirlos a otro responsable.,El marcado de los datos personales conservados con el fin de limitar su tratamiento en el futuro.,La prohibición absoluta de que el responsable conserve los datos tras cumplir la finalidad.,3
¿Qué principio de protección de datos exige que el responsable del tratamiento implemente medidas técnicas y organizativas apropiadas y pueda demostrar su cumplimiento?,Principio de transparencia.,Principio de exactitud.,Principio de limitación del plazo de conservación.,Principio de responsabilidad proactiva (accountability).,4
¿Cuál de los siguientes no pertenece a las 'categorías especiales de datos personales' (antiguos datos especialmente protegidos)?,Datos biométricos dirigidos a identificar de manera unívoca a una persona.,Datos relativos a la orientación sexual o vida sexual.,Datos patrimoniales y de solvencia económica.,Datos de afiliación sindical e ideología.,3
La designación de un Delegado de Protección de Datos (DPD/DPO) es obligatoria siempre para:,Las pequeñas y medianas empresas (pymes) que traten datos de clientes.,"Los colegios profesionales y las Administraciones Públicas, excepto los tribunales en ejercicio de función judicial.",Exclusivamente las empresas del IBEX 35.,"Cualquier responsable del tratamiento, sin excepción.",2
"Si los datos personales se han obtenido del interesado, ¿en qué momento debe facilitarse la información del art. 13 RGPD (identidad, fines, derechos, etc.)?","En un plazo razonable, no superior a un mes.",En el momento en que se obtengan los datos personales.,Cuando se proceda a la primera comunicación a un tercero.,Antes de transcurridos tres meses de su registro.,2
"Según el art. 93 de la LOPDGDD, en relación con el derecho al olvido en búsquedas de internet, los interesados tienen derecho a:",Que se borren físicamente las noticias publicadas en los boletines oficiales del Estado.,"Que los motores de búsqueda eliminen los enlaces a datos personales que sean inadecuados, inexactos, no pertinentes, no actualizados o excesivos.",Prohibir a los periodistas ejercer la libertad de información.,Que sus datos sean anonimizados de todo registro público con carácter retroactivo.,2
