Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
La licencia urbanística es un acto administrativo de naturaleza...,Reglada,Discrecional,Sancionadora,Contractual,1
En caso de silencio administrativo en licencias de obras de nueva planta...,Se entiende estimatoria por silencio positivo según jurisprudencia,Nunca puede adquirirse por silencio positivo facultades contrarias al planeamiento,Se considera denegada siempre por silencio negativo absoluto a los 15 días,Implica la nulidad del plan,2
¿Qué actuación está sujeta a comunicación previa o declaración responsable en lugar de licencia?,Los movimientos de tierras que alteren la cota del terreno,Las obras de escasa entidad constructiva y sencillez técnica que no requieran proyecto,La demolición de un edificio BIC,La construcción de una nueva nave industrial,2
La orden de ejecución es un instrumento de intervención para...,Conceder licencias,Obligar al propietario al cumplimiento de sus deberes de conservación,Paralizar obras amparadas por licencia,Declarar el suelo como urbanizable,2
El restablecimiento de la legalidad urbanística ante una obra sin licencia...,Solo conlleva una sanción pecuniaria,Puede implicar la paralización y eventual demolición de lo construido,Prescribe siempre a los 6 meses,Debe solicitarlo un vecino obligatoriamente,2
Intervención urbanística (Caso 1): Si se presenta una declaración responsable urbanística...,Se debe esperar 3 meses para iniciar la obra,"Permite, con carácter general, realizar la actuación desde el día de su presentación, sin perjuicio de comprobación posterior",Es un trámite previo obligatorio a la obtención de la licencia para grandes obras,Solo se admite si el Ayuntamiento lo ha publicado en un Bando el mismo año,2
Intervención urbanística (Caso 2): Si se presenta una declaración responsable urbanística...,Se debe esperar 3 meses para iniciar la obra,"Permite, con carácter general, realizar la actuación desde el día de su presentación, sin perjuicio de comprobación posterior",Es un trámite previo obligatorio a la obtención de la licencia para grandes obras,Solo se admite si el Ayuntamiento lo ha publicado en un Bando el mismo año,2
Intervención urbanística (Caso 3): Si se presenta una declaración responsable urbanística...,Se debe esperar 3 meses para iniciar la obra,"Permite, con carácter general, realizar la actuación desde el día de su presentación, sin perjuicio de comprobación posterior",Es un trámite previo obligatorio a la obtención de la licencia para grandes obras,Solo se admite si el Ayuntamiento lo ha publicado en un Bando el mismo año,2
Intervención urbanística (Caso 4): Si se presenta una declaración responsable urbanística...,Se debe esperar 3 meses para iniciar la obra,"Permite, con carácter general, realizar la actuación desde el día de su presentación, sin perjuicio de comprobación posterior",Es un trámite previo obligatorio a la obtención de la licencia para grandes obras,Solo se admite si el Ayuntamiento lo ha publicado en un Bando el mismo año,2
Intervención urbanística (Caso 5): Si se presenta una declaración responsable urbanística...,Se debe esperar 3 meses para iniciar la obra,"Permite, con carácter general, realizar la actuación desde el día de su presentación, sin perjuicio de comprobación posterior",Es un trámite previo obligatorio a la obtención de la licencia para grandes obras,Solo se admite si el Ayuntamiento lo ha publicado en un Bando el mismo año,2
