Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
El instrumento principal de planeamiento urbanístico general en un municipio es...,El Plan Parcial,El Plan General de Ordenación Urbana (PGOU),El Estudio de Detalle,El Proyecto de Reparcelación,2
Los Planes Parciales tienen por objeto...,Ordenar áreas en suelo urbano consolidado,Desarrollar el planeamiento general mediante la ordenación detallada de sectores en suelo urbanizable,Establecer las directrices de ordenación del territorio autonómico,Reajustar alineaciones y rasantes,2
Un Estudio de Detalle no puede en ningún caso...,Adaptar alineaciones,Alterar el aprovechamiento urbanístico del Plan General,Ordenar volúmenes,Completar la red viaria secundaria,2
"La aprobación definitiva del Plan General de Ordenación Urbana (PGOU) corresponde, con carácter general, a...",El Pleno del Ayuntamiento,El Alcalde,La Comunidad Autónoma,"El Ministerio de Transportes, Movilidad y Agenda Urbana",3
Las Normas Subsidiarias de Planeamiento...,Han desaparecido y no pueden existir,Se aplican en municipios que carecen de Plan General propio,Son jerárquicamente superiores al Plan Director autonómico,Solo regulan el suelo rural,2
Instrumentos de Planeamiento (Variante 1): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 2): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 3): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 4): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 5): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 6): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 7): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 8): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 9): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 10): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 11): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 12): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 13): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 14): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
Instrumentos de Planeamiento (Variante 15): Respecto a los Planes Especiales...,Solo pueden redactarse para proteger cascos históricos,Pueden tener finalidades diversas como la protección del medio ambiente o infraestructuras,Son siempre de iniciativa privada,No requieren trámite de información pública,2
