Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
"En el ámbito local, los actos de la Junta de Gobierno Local...",Nunca agotan la vía administrativa,Agotan la vía administrativa salvo que una ley sectorial diga lo contrario,Solo agotan la vía si actúan por delegación del Alcalde,Son recurribles siempre en alzada ante el Pleno,2
¿Quién es el órgano competente para declarar la lesividad de los actos del Ayuntamiento favorables a los interesados?,El Alcalde,El Pleno,El Juzgado de lo Contencioso,El Secretario,2
"Contra un acto del Pleno que agota la vía administrativa, procede...",Recurso de alzada,Recurso potestativo de reposición,Reclamación económico-administrativa,Recurso extraordinario de revisión obligatoriamente,2
Si se incumple el plazo máximo para resolver un procedimiento sancionador iniciado de oficio por el Ayuntamiento...,Se produce la caducidad,Se entiende estimado por silencio positivo,Se entiende desestimado,Se interrumpe la prescripción de la infracción,1
"En la recusación de un funcionario local, el incidente de recusación...",Suspenderá el procedimiento en todo caso,No suspenderá el procedimiento principal,Será resuelto por el recusado,Permite recurso administrativo directo,2
Procedimiento administrativo local y revisión (Supuesto 1): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 2): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 3): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 4): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 5): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 6): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 7): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 8): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 9): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 10): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 11): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 12): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 13): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 14): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
Procedimiento administrativo local y revisión (Supuesto 15): En relación con la revisión de oficio de actos nulos en un Ayuntamiento...,Requiere dictamen previo favorable del Consejo de Estado u órgano autonómico equivalente,Puede iniciarse solo a instancia de parte,El plazo máximo para resolver es de 3 meses,La competencia es exclusiva del Alcalde siempre,1
