Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
¿Cuál es la periodicidad mínima de las sesiones ordinarias del Pleno en un municipio de 15.000 habitantes?,Cada mes,Cada dos meses,Cada tres meses,Semestral,2
"Para la válida constitución del Pleno, se requiere la asistencia de...","La mitad de los miembros, con un mínimo de 5","Un tercio del número legal de miembros, mínimo 3, más Presidente y Secretario",La mayoría absoluta,Dos tercios en primera convocatoria,2
Los acuerdos de las Corporaciones Locales se adoptan por regla general mediante...,Mayoría absoluta,Mayoría simple,Mayoría de dos tercios,Unanimidad,2
El libro de resoluciones del Alcalde...,Es público y de libre acceso inmediato,Lo custodia el Interventor,Lo lleva y custodia el Secretario,No es obligatorio,3
¿Qué plazo tiene el Secretario para remitir a la Administración del Estado y a la CCAA copia o extracto de los acuerdos locales?,15 días desde la sesión,6 días posteriores a la adopción del acuerdo,10 días,20 días hábiles,2
Acerca de las sesiones y acuerdos locales (Ref 1): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 2): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 3): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 4): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 5): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 6): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 7): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 8): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 9): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 10): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 11): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 12): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 13): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 14): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
Acerca de las sesiones y acuerdos locales (Ref 15): Si un Concejal se abstiene en una votación que requiere mayoría absoluta...,Su voto cuenta como negativo,Reduce el quorum necesario,No computa a efectos de alcanzar la mayoría exigida,El Alcalde tiene voto de calidad automático,3
