Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
El principio de autotutela ejecutiva implica que:,La Administración necesita autorización judicial para ejecutar todos sus actos.,"Los actos de las Administraciones Públicas sujetos al Derecho Administrativo serán inmediatamente ejecutivos, salvo excepciones legales.",La ejecución forzosa corresponde en exclusiva a las Fuerzas y Cuerpos de Seguridad.,Solo se pueden ejecutar los actos si el interesado presta su consentimiento.,2
¿Cuál de los siguientes NO es un medio de ejecución forzosa según la Ley 39/2015?,Apremio sobre el patrimonio.,Ejecución subsidiaria.,Arresto domiciliario subsidiario.,Multa coercitiva.,3
La compulsión sobre las personas como medio de ejecución forzosa procede:,En obligaciones de dar bienes fungibles.,En obligaciones de hacer personalísimas en todo caso.,"En obligaciones personalísimas de no hacer o soportar, cuando la ley expresamente lo autorice.",En obligaciones de pago de cantidad líquida.,3
"Si fueran utilizables varios medios de ejecución forzosa, la Administración:",Elegirá el más restrictivo para asegurar el cumplimiento.,Elegirá el menos restrictivo de la libertad individual.,Elegirá siempre el apremio sobre el patrimonio por ser más rápido.,Podrá utilizar todos simultáneamente.,2
La 'vía de hecho' administrativa se produce cuando:,La Administración actúa siguiendo el procedimiento legalmente establecido.,La Administración ejecuta una resolución amparada en una norma legal.,"La Administración actúa sin cobertura jurídica alguna, prescindiendo total y absolutamente del procedimiento o sin tener competencia.",La Administración ejecuta un acto anulable pero no nulo de pleno derecho.,3
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Determinará el archivo automático de las actuaciones sin recurso posible.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",4
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Determinará el archivo automático de las actuaciones sin recurso posible.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,2
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,3
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es competencia exclusiva del Consejo de Ministros.,2
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Determinará el archivo automático de las actuaciones sin recurso posible.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,1
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Es competencia exclusiva del Consejo de Ministros.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Determinará el archivo automático de las actuaciones sin recurso posible.,1
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,2
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Determinará el archivo automático de las actuaciones sin recurso posible.,Supone una vulneración del principio de tipicidad sancionadora.,1
"En relación con el contenido específico del Coacción y Ejecución (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el coacción y ejecución.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,3
