Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
"Según el art. 49 de la LBRL, ¿cuál es el plazo mínimo de información pública en la elaboración de ordenanzas locales?",15 días hábiles,30 días hábiles,30 días naturales,30 días,4
¿Cuándo entra en vigor una ordenanza local según la LBRL?,Al día siguiente de su publicación en el BOP,A los 15 días hábiles de la publicación íntegra,A los 20 días de su publicación íntegra,Transcurrido el plazo del art. 65.2 (15 días hábiles) tras recibir la Administración del Estado/CCAA la comunicación del acuerdo y publicarse íntegramente,4
¿Quién tiene la competencia indelegable para la aprobación inicial de las ordenanzas?,El Alcalde,La Junta de Gobierno Local,El Pleno,El Secretario General,3
Si durante el período de información pública de una ordenanza no se presentan reclamaciones...,Debe volver a reunirse el Pleno para la aprobación definitiva,El acuerdo de aprobación inicial se entiende elevado a definitivo,El Alcalde dicta bando de aprobación,Se abre un nuevo plazo de 15 días,2
Las ordenanzas fiscales...,Siguen el mismo procedimiento que las ordenanzas de policía,Se regulan por el art. 17 del TRLRHL y su exposición pública es de 30 días mínimos,Se rigen por el TRLRHL y su información pública es de 30 días hábiles mínimos,No requieren publicación íntegra,3
"En relación con la potestad reglamentaria y fuentes (Variante 1), ¿qué afirmación es correcta respecto a la jerarquía y control?",Los Bandos pueden contravenir las Ordenanzas,Las ordenanzas locales están subordinadas a la ley pero no a los reglamentos estatales/autonómicos si invaden autonomía,Los reglamentos orgánicos tienen rango de ley,La impugnación de una ordenanza agota la vía administrativa y procede recurso de alzada,2
"En relación con la potestad reglamentaria y fuentes (Variante 2), ¿qué afirmación es correcta respecto a la jerarquía y control?",Los Bandos pueden contravenir las Ordenanzas,Las ordenanzas locales están subordinadas a la ley pero no a los reglamentos estatales/autonómicos si invaden autonomía,Los reglamentos orgánicos tienen rango de ley,La impugnación de una ordenanza agota la vía administrativa y procede recurso de alzada,2
"En relación con la potestad reglamentaria y fuentes (Variante 3), ¿qué afirmación es correcta respecto a la jerarquía y control?",Los Bandos pueden contravenir las Ordenanzas,Las ordenanzas locales están subordinadas a la ley pero no a los reglamentos estatales/autonómicos si invaden autonomía,Los reglamentos orgánicos tienen rango de ley,La impugnación de una ordenanza agota la vía administrativa y procede recurso de alzada,2
"En relación con la potestad reglamentaria y fuentes (Variante 4), ¿qué afirmación es correcta respecto a la jerarquía y control?",Los Bandos pueden contravenir las Ordenanzas,Las ordenanzas locales están subordinadas a la ley pero no a los reglamentos estatales/autonómicos si invaden autonomía,Los reglamentos orgánicos tienen rango de ley,La impugnación de una ordenanza agota la vía administrativa y procede recurso de alzada,2
"En relación con la potestad reglamentaria y fuentes (Variante 5), ¿qué afirmación es correcta respecto a la jerarquía y control?",Los Bandos pueden contravenir las Ordenanzas,Las ordenanzas locales están subordinadas a la ley pero no a los reglamentos estatales/autonómicos si invaden autonomía,Los reglamentos orgánicos tienen rango de ley,La impugnación de una ordenanza agota la vía administrativa y procede recurso de alzada,2
