Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Para que exista responsabilidad patrimonial de la Administración, el daño alegado debe ser:","Efectivo, evaluable económicamente e individualizado con relación a una persona o grupo de personas.",Cualquier molestia derivada de la actuación pública.,Un daño genérico que afecte a toda la sociedad por igual.,Consecuencia de fuerza mayor debidamente acreditada.,1
"El derecho a reclamar la responsabilidad patrimonial prescribe, por regla general:",Al mes de producido el hecho o el acto que motive la indemnización.,Al año de producido el hecho o el acto que motive la indemnización o se manifieste su efecto lesivo.,A los 4 años desde que se dictó el acto.,"No prescribe, es imprescriptible.",2
Si el daño es consecuencia de la aplicación de una norma con rango de ley declarada inconstitucional:,No hay derecho a indemnización en ningún caso.,"Procederá su indemnización si el particular ha obtenido, en cualquier instancia, sentencia firme desestimatoria de un recurso contra el acto y alegó la inconstitucionalidad.",La indemnización se otorga de oficio a todos los ciudadanos.,Se aplica la prescripción de 5 años.,2
¿Quién resuelve los procedimientos de responsabilidad patrimonial en la Administración General del Estado como regla general?,El Ministro respectivo.,El Secretario de Estado.,El Director General competente.,El Consejo de Ministros en todos los casos.,1
La indemnización por responsabilidad patrimonial se calculará con referencia al día en que:,Se pague efectivamente la indemnización.,"La lesión efectivamente se produjo, sin perjuicio de su actualización a la fecha en que se ponga fin al procedimiento.",Se interpuso la reclamación por el interesado.,Se dictó la resolución estimatoria.,2
"En relación con el contenido específico del Responsabilidad Patrimonial (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el responsabilidad patrimonial.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,3
"En relación con el contenido específico del Responsabilidad Patrimonial (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Determinará el archivo automático de las actuaciones sin recurso posible.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el responsabilidad patrimonial.",4
"En relación con el contenido específico del Responsabilidad Patrimonial (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el responsabilidad patrimonial.",4
"En relación con el contenido específico del Responsabilidad Patrimonial (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el responsabilidad patrimonial.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Responsabilidad Patrimonial (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Determinará el archivo automático de las actuaciones sin recurso posible.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el responsabilidad patrimonial.",4
