Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"En caso de declaración del estado de excepción, ¿cuál de los siguientes derechos fundamentales NO puede ser suspendido?",El derecho al honor y a la propia imagen (art. 18.1).,El secreto de las comunicaciones (art. 18.3).,La inviolabilidad del domicilio (art. 18.2).,La libertad de expresión (art. 20.1.a).,1
"Según el artículo 17 de la CE, toda persona detenida debe ser puesta en libertad o a disposición judicial en el plazo estrictamente necesario y, en todo caso, en el plazo máximo de:",24 horas.,48 horas.,72 horas.,120 horas.,3
El procedimiento de 'Habeas Corpus' regulado en el art. 17.4 de la CE sirve para producir la inmediata puesta a disposición judicial de:,Toda persona privada de libertad sin condena en firme.,Toda persona detenida ilegalmente.,Todo condenado cuya sentencia sea recurrida.,Los extranjeros retenidos en frontera.,2
"La Constitución, en su artículo 22, prohíbe...",Las asociaciones que persigan fines de lucro.,Las asociaciones que exijan cuotas obligatorias.,Las asociaciones secretas y las de carácter paramilitar.,Toda asociación que no se inscriba previamente en el registro para su constitución válida.,3
El recurso de amparo ante el Tribunal Constitucional protege de manera directa:,Cualquier derecho recogido en el Título I de la Constitución.,"Los derechos comprendidos desde el artículo 14 al 29 de la CE, exclusivamente.",Los derechos comprendidos desde el artículo 14 al 29 y la objeción de conciencia del artículo 30.,"Todos los derechos fundamentales, libertades públicas y los principios rectores de la política social y económica.",3
El Defensor del Pueblo es elegido por:,El Congreso de los Diputados por mayoría absoluta.,Las Cortes Generales por una mayoría de 3/5 en cada Cámara.,El Tribunal Constitucional a propuesta del Consejo General del Poder Judicial.,"El Gobierno, previa audiencia de las asociaciones civiles de defensa de derechos.",2
"El secuestro de publicaciones, grabaciones y otros medios de información (art. 20.5 CE)...",Podrá acordarse por la autoridad gubernativa en supuestos de urgencia.,Sólo podrá acordarse en virtud de resolución judicial.,Puede ordenarlo el Ministerio Fiscal directamente.,Está absolutamente prohibido en cualquier circunstancia.,2
La libertad de residencia (art. 19 CE) puede ser suspendida individualmente según el art. 55.2 para personas relacionadas con investigaciones sobre bandas armadas o terroristas?,"Sí, está expresamente previsto en el artículo 55.2.","No, la suspensión individual del art. 55.2 afecta sólo al plazo de detención, inviolabilidad del domicilio y secreto de las comunicaciones.","Sí, siempre que haya previa resolución judicial específica que así lo ordene.","Sí, pero únicamente si el individuo no tiene nacionalidad española.",2
"Según el artículo 53.1 CE, los derechos y libertades reconocidos en el Capítulo Segundo del Título I...","Sólo por ley podrá regularse su ejercicio, la cual deberá respetar su contenido esencial.","Se desarrollarán mediante Ley Orgánica, que deberá respetar siempre los precedentes del Defensor del Pueblo.",Pueden regularse mediante Decreto-Ley por razones de extraordinaria urgencia sin limitación de contenido.,No son de aplicación directa hasta que no se dicten sus correspondientes leyes de desarrollo.,1
En el ejercicio del derecho de reunión en lugares de tránsito público (art. 21.2 CE):,Es necesaria la autorización previa de la Delegación del Gobierno.,Solo requerirá autorización previa si participan más de 500 personas.,"Se dará comunicación previa a la autoridad, que solo podrá prohibirla por razones fundadas de alteración del orden público con peligro para personas o bienes.",No se necesita autorización ni comunicación previa alguna.,3
"Sobre el Ministerio Fiscal (art. 124 CE), su actuación se rige, entre otros, por el principio de:",Pluralidad e independencia judicial.,Oportunidad y dependencia funcional.,Legalidad y unidad de actuación.,Subordinación plena al Ministro de Justicia.,3
"Para el ejercicio de la libertad sindical (art. 28.1 CE), la ley podrá limitar o exceptuar el ejercicio de este derecho a:",Los Cuerpos y Fuerzas de Seguridad del Estado únicamente.,Las Fuerzas o Institutos armados o a los demás Cuerpos sometidos a disciplina militar.,Los funcionarios públicos en general.,"Los magistrados, jueces y fiscales en todo caso.",2
¿A qué edad se alcanza la mayoría de edad en España según la Constitución (art. 12)?,A los 16 años.,A los 18 años.,A los 21 años.,"La Constitución no fija la edad, lo delega al Código Civil.",2
"Según el art. 24.2, todos tienen derecho al juez ordinario predeterminado por la Ley y a ser informados de...",Los plazos de caducidad de sus acciones.,Las pruebas que el juez tenga en su contra antes de personarse.,La acusación formulada contra ellos.,El nombre y apellidos del juez que instruye el caso.,3
El derecho de petición (art. 29 CE) puede ser ejercido por los miembros de las Fuerzas Armadas:,Sólo de forma colectiva y con arreglo a su legislación específica.,"De forma individual y colectiva, igual que cualquier ciudadano.",Únicamente de forma colectiva.,Únicamente individualmente y con arreglo a lo dispuesto en su legislación específica.,4
