Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
Los bienes de dominio público local se caracterizan por ser...,"Inalienables, inembargables e imprescriptibles",Alienables mediante subasta,Embargables si son de uso público,Prescriptibles a los 30 años,1
La alteración de la calificación jurídica de un bien local...,Requiere siempre mayoría simple del Pleno,Requiere expediente en el que se acredite su oportunidad y legalidad y exposición pública de un mes,Es competencia del Alcalde,Produce la pérdida de titularidad,2
El inventario de bienes de las entidades locales...,Se aprueba por la Junta de Gobierno,"Debe rectificarse anualmente, con referencia a 31 de diciembre",Se actualiza cada 4 años,Solo incluye bienes inmuebles,2
El desahucio en vía administrativa procede frente a...,Usurpadores de bienes patrimoniales,Quienes pierdan el derecho al uso de bienes de dominio público,Inquilinos de viviendas protegidas municipales,Ocupantes de bienes comunales exclusivamente,2
¿Qué órgano es competente para el ejercicio de la potestad de recuperación de oficio de un bien patrimonial si ha pasado más de 1 año desde la usurpación?,El Alcalde,El Pleno,"No procede recuperación de oficio, hay que acudir a la jurisdicción civil",La Policía Local,3
Bienes de las EE.LL. (Pregunta especial 1): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 2): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 3): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 4): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 5): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 6): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 7): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 8): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 9): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 10): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 11): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 12): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 13): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 14): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
Bienes de las EE.LL. (Pregunta especial 15): Respecto a la prerrogativa de investigación de los bienes...,Solo puede ejercerse sobre bienes de dominio público,Puede iniciarse de oficio o por denuncia ciudadana,No suspende posibles juicios posesorios,Caduca a los 3 meses,2
