Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
¿Qué instrumento ordena al personal de la entidad local y precisa los requisitos para su desempeño?,La Oferta de Empleo Público,El Presupuesto,La Relación de Puestos de Trabajo (RPT),La Plantilla,3
La aprobación de la Oferta de Empleo Público debe realizarse...,Anualmente,Cada dos años,Cuando haya vacantes,Cada cuatrienio,1
La pérdida de la condición de funcionario de carrera NO se produce por...,La renuncia expresa,La jubilación total,El pase a la situación de servicios especiales,La pérdida de la nacionalidad,3
La Plantilla de personal...,Contiene solo los puestos de libre designación,"Comprende todos los puestos de trabajo reservados a funcionarios, laborales y eventuales, respondiendo a los créditos presupuestarios",No es vinculante para el presupuesto,Se aprueba por la Junta de Gobierno,2
El personal eventual en la Administración Local...,Es de nombramiento reglado mediante oposición,Ejerce funciones de confianza o asesoramiento especial,Goza de inamovilidad,Sus retribuciones no son públicas,2
"RRHH y Personal (Normativa 1): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 2): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 3): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 4): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 5): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 6): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 7): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
"RRHH y Personal (Normativa 8): En relación con el acceso al empleo público, ¿cuál de estos NO es un requisito general según el TREBEP?",Tener la nacionalidad española o de otro Estado miembro de la UE (salvo excepciones),Tener cumplidos los 18 años y no exceder de los 60,Poseer la capacidad funcional para el desempeño de las tareas,No haber sido separado mediante expediente disciplinario del servicio,2
