Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
Son nulos de pleno derecho (art. 47) los actos administrativos que:,Incurran en cualquier infracción del ordenamiento jurídico,Carezcan de los requisitos formales indispensables para alcanzar su fin,Sean dictados prescindiendo total y absolutamente del procedimiento legalmente establecido,Impliquen desviación de poder,3
"Los actos que incurran en infracción del ordenamiento jurídico, incluso la desviación de poder, son:",Nulos de pleno derecho,Anulables,Irregulares pero válidos,Ineficaces automáticamente,2
El defecto de forma en un acto administrativo (art. 48.2):,Siempre determina la anulabilidad del acto,"Solo determina la anulabilidad cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin, o dé lugar a indefensión",Siempre determina la nulidad de pleno derecho,Nunca afecta a la validez del acto,2
La realización de actuaciones administrativas fuera del tiempo establecido (art. 48.3):,Implica siempre la nulidad del acto,Solo implicará la anulabilidad del acto cuando así lo imponga la naturaleza del término o plazo,Supone la caducidad inmediata del procedimiento,Obliga a retrotraer el procedimiento al momento inicial,2
Las disposiciones administrativas generales (Reglamentos) que vulneren la Constitución o las Leyes son:,Anulables,Nulas de pleno derecho,Derogables solo por el Defensor del Pueblo,Irregulares,2
La convalidación de los actos anulables (art. 52):,Procede en todo caso de nulidad y anulabilidad,"Podrá realizarse por la Administración, subsanando los vicios de que adolezcan",Tiene siempre efectos retroactivos a la fecha del acto convalidado,Solo puede ser instada por los interesados,2
"En cuanto a la revisión de oficio de actos nulos (art. 106), las Administraciones Públicas podrán declarar la nulidad de los actos que hayan puesto fin a la vía administrativa o que no hayan sido recurridos en plazo:","En cualquier momento, por iniciativa propia o a solicitud de interesado, previo dictamen favorable del Consejo de Estado u órgano consultivo autonómico",En el plazo máximo de 4 años,"Solo a solicitud del interesado, con informe del órgano instructor","En cualquier momento, pero solo en actos de gravamen",1
¿Cuál es el plazo para la declaración de lesividad de actos anulables favorables para el interesado (art. 107)?,No podrán declararse lesivos pasados 4 años desde que se dictó el acto,No hay plazo para declararlos lesivos,El plazo es de 1 año desde que se dictó,Pasados 3 meses desde la notificación,1
La declaración de lesividad:,Puede adoptarse de oficio sin dar audiencia al interesado,Exige la previa audiencia de cuantos aparezcan como interesados en el mismo,Es un recurso administrativo más,Pone fin a la vía contencioso-administrativa,2
¿Qué recurso administrativo cabe contra las disposiciones administrativas de carácter general?,Recurso de alzada,Recurso potestativo de reposición,"No cabe recurso en vía administrativa, sino directamente recurso contencioso-administrativo",Recurso extraordinario de revisión,3
El recurso de alzada (art. 121) se interpone contra:,Resoluciones que ponen fin a la vía administrativa,Resoluciones y actos de trámite cualificados que no pongan fin a la vía administrativa,Disposiciones generales,Actos firmes en vía administrativa,2
Plazo para interponer recurso de alzada si el acto recurrido es expreso:,1 mes,3 meses,15 días,2 meses,1
"Si el acto recurrido en alzada no es expreso (silencio administrativo), el solicitante podrá interponerlo:",En el plazo de 3 meses,En cualquier momento a partir del día siguiente a aquel en que se produzcan los efectos del silencio,En el plazo de 1 mes desde el silencio,"Nunca, deberá acudir a la vía contenciosa",2
El plazo máximo para dictar y notificar la resolución del recurso de alzada es:,1 mes,3 meses,6 meses,20 días hábiles,2
Contra la resolución de un recurso de alzada:,Cabe nuevo recurso de alzada,Cabe recurso potestativo de reposición,"No cabe ningún otro recurso administrativo, salvo el extraordinario de revisión en los casos establecidos",Cabe recurso de revisión ante el mismo órgano que resolvió,3
El recurso potestativo de reposición (art. 123) se interpone contra:,Actos que no ponen fin a la vía administrativa,Actos que ponen fin a la vía administrativa,Solo contra actos presuntos,Actos firmes que incurran en error de hecho,2
El plazo máximo para dictar y notificar la resolución del recurso de reposición es:,1 mes,3 meses,6 meses,15 días,1
¿Puede interponerse recurso contencioso-administrativo si se ha interpuesto recurso potestativo de reposición?,"Sí, simultáneamente","No, hasta que el de reposición sea resuelto expresamente o se haya producido la desestimación presunta","No, al elegir la vía de reposición se renuncia a la contenciosa","Sí, pero solo si han pasado 15 días desde la interposición",2
El recurso extraordinario de revisión (art. 125) procede contra:,Cualquier acto administrativo de trámite,"Actos firmes en vía administrativa, por causas muy tasadas (error de hecho, documentos falsos, prevaricación...)",Disposiciones generales firmes,Resoluciones que no pongan fin a la vía administrativa,2
El plazo para interponer el recurso extraordinario de revisión basado en la aparición de documentos de valor esencial es de:,4 años siguientes a la fecha de la notificación de la resolución,3 meses a contar desde el conocimiento de los documentos o desde que la sentencia judicial quedó firme,1 mes desde la resolución firme,No hay plazo para los documentos de valor esencial,2
