Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"En el ámbito de PAC Fases (1), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre PAC Fases (2), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a PAC Fases (3), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con PAC Fases (4), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de PAC Fases (5), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre PAC Fases (6), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a PAC Fases (7), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con PAC Fases (8), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de PAC Fases (9), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre PAC Fases (10), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a PAC Fases (11), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con PAC Fases (12), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de PAC Fases (13), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre PAC Fases (14), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a PAC Fases (15), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con PAC Fases (16), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de PAC Fases (17), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre PAC Fases (18), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a PAC Fases (19), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con PAC Fases (20), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
