Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
¿Cuál es el plazo de prescripción del derecho de la Administración para exigir el pago de las deudas tributarias liquidadas?,3 años,4 años,5 años,10 años,2
"La gestión, liquidación, inspección y recaudación de los tributos locales...",Corresponde exclusivamente al Estado,Corresponde a la Administración Tributaria Local,Debe delegarse en la Diputación obligatoriamente,No puede ser delegada en las CCAA,2
"En el procedimiento de apremio local, ¿qué recargo se exige si se paga la deuda antes de la notificación de la providencia de apremio?",Recargo de apremio ordinario (20%),Recargo ejecutivo (5%),Recargo de apremio reducido (10%),No hay recargo,2
Contra los actos de aplicación y efectividad de los tributos locales procederá...,Recurso de alzada,Recurso de reposición con carácter previo y potestativo,Recurso de reposición con carácter previo y preceptivo,Reclamación ante el TEA Estatal,3
¿Quién expide la providencia de apremio en el Ayuntamiento?,El Alcalde,El Interventor,El Tesorero,El Recaudador,3
Gestión e Inspección Tributaria Local (Test avanzado 1): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 2): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 3): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 4): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 5): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 6): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 7): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 8): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 9): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 10): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 11): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 12): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 13): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 14): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
Gestión e Inspección Tributaria Local (Test avanzado 15): En relación con el aplazamiento de deudas...,Se denegará siempre en periodo ejecutivo,Puede concederse previa solicitud si la situación económico-financiera impide el pago transitoriamente,No requiere garantía si la deuda supera los 50.000 euros,Suspende el devengo de intereses de demora,2
