Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
El principio de tipicidad en el ámbito sancionador exige que:,Las sanciones puedan imponerse basándose en analogías.,Constituyan infracción administrativa las vulneraciones del ordenamiento jurídico previstas como tales en una Ley.,Los Reglamentos puedan crear infracciones ex novo sin habilitación legal.,Las ordenanzas locales puedan establecer penas privativas de libertad.,2
"Si en un procedimiento sancionador se aprecia que los hechos pudieran ser constitutivos de delito, la Administración:",Continuará el procedimiento hasta imponer la sanción y luego lo comunicará.,Impondrá la sanción y la deducirá de la pena penal.,Pasará el tanto de culpa a la jurisdicción competente y suspenderá el procedimiento sancionador.,Archivará definitivamente el expediente sin más trámites.,3
"El plazo de prescripción de las infracciones muy graves, salvo que la ley fije otro, es de:",1 año.,2 años.,3 años.,5 años.,3
Las medidas provisionales en un procedimiento sancionador deben estar regidas por el principio de:,Irretroactividad.,Culpabilidad.,"Proporcionalidad, eficacia y menor perjuicio para el interesado.",Inquisitivo.,3
La resolución que ponga fin a un procedimiento sancionador debe:,Incluir la valoración de las pruebas practicadas y fijar los hechos y la persona responsable.,Limitarse a fijar la cuantía de la multa.,Notificarse en un plazo máximo de 10 días tras iniciarse el expediente.,Ser aprobada por el Consejo de Ministros siempre.,1
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Es un trámite de carácter meramente facultativo y no vinculante.,1
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Es competencia exclusiva del Consejo de Ministros.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es competencia exclusiva del Consejo de Ministros.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Determinará el archivo automático de las actuaciones sin recurso posible.,3
