Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
¿Contra qué actos cabe interponer recurso de alzada?,Contra actos que ponen fin a la vía administrativa.,"Contra resoluciones y actos de trámite que no pongan fin a la vía administrativa, si estos deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, o producen indefensión o perjuicio irreparable.",Contra disposiciones administrativas de carácter general.,Contra cualquier acto firme en vía administrativa.,2
El plazo para interponer un recurso de reposición contra un acto expreso es de:,15 días hábiles.,1 mes.,3 meses.,2 meses.,2
"Si transcurren 3 meses desde la interposición de un recurso de alzada sin que recaiga resolución, ¿qué efecto tiene el silencio administrativo como regla general?",Se entiende estimado.,Se entiende desestimado.,Produce la caducidad del recurso.,Obliga al interesado a interponer recurso de reposición.,2
El recurso extraordinario de revisión procede contra:,Actos de trámite cualificados.,Disposiciones administrativas de carácter general.,"Actos firmes en vía administrativa, cuando concurra alguna de las circunstancias previstas en la Ley (error de hecho, documentos falsos, etc.).",Cualquier acto nulo de pleno derecho.,3
¿Qué órgano es competente para resolver un recurso de alzada?,El mismo órgano que dictó el acto impugnado.,El superior jerárquico del órgano que dictó el acto.,El Tribunal de Justicia de la Comunidad Autónoma.,El Consejo de Ministros.,2
"En relación con el contenido específico del Recursos (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Es un trámite de carácter meramente facultativo y no vinculante.,3
"En relación con el contenido específico del Recursos (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Es competencia exclusiva del Consejo de Ministros.,3
"En relación con el contenido específico del Recursos (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Es un trámite de carácter meramente facultativo y no vinculante.,3
"En relación con el contenido específico del Recursos (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,2
"En relación con el contenido específico del Recursos (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Supone una vulneración del principio de tipicidad sancionadora.,1
"En relación con el contenido específico del Recursos (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el recursos.",Determinará el archivo automático de las actuaciones sin recurso posible.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
