Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
El presupuesto general de la entidad local deberá ser aprobado...,Antes del 1 de octubre del año anterior,Antes del 31 de diciembre del año anterior al ejercicio en que deba aplicarse,Antes del 1 de enero,Durante el primer trimestre del año de aplicación,2
El anexo de inversiones a realizar en el ejercicio...,Forma parte del contenido obligatorio del presupuesto general,Es optativo,Solo se exige a municipios de más de 50.000 habitantes,Se aprueba separadamente en el Plan General,1
Si el presupuesto no se aprueba antes del primer día del ejercicio económico correspondiente...,Se suspenden los pagos de nóminas,Se entiende automáticamente prorrogado el del ejercicio anterior,Se aplica el presupuesto de la Diputación,El Alcalde lo aprueba por Decreto,2
La aprobación inicial del presupuesto general corresponde al...,Alcalde,Pleno,Ministerio de Hacienda,Interventor,2
¿Durante qué plazo se expone al público el presupuesto aprobado inicialmente?,15 días,15 días hábiles,30 días hábiles,1 mes,2
"Presupuesto General Local (Detalle procedimental 1): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 2): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 3): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 4): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 5): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 6): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 7): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 8): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 9): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 10): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 11): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 12): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 13): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 14): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
"Presupuesto General Local (Detalle procedimental 15): Sobre las modificaciones presupuestarias, un crédito extraordinario procede cuando...",Haya crédito presupuestario pero sea insuficiente,No exista crédito presupuestario para un gasto específico e inaplazable,Se desee transferir dinero entre áreas distintas,Se anule un gasto previsto,2
