Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"En el ámbito de LCSP II (1), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre LCSP II (2), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a LCSP II (3), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con LCSP II (4), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de LCSP II (5), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre LCSP II (6), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a LCSP II (7), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con LCSP II (8), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de LCSP II (9), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre LCSP II (10), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a LCSP II (11), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con LCSP II (12), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de LCSP II (13), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre LCSP II (14), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a LCSP II (15), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con LCSP II (16), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
"En el ámbito de LCSP II (17), si la normativa fija un plazo por meses, ¿cómo se computa si el mes de vencimiento no tiene día equivalente al inicial?",Se entenderá que el plazo expira el último día del mes,Por días hábiles convirtiendo el mes a 30 días,Por días naturales,Pasa al primer día hábil del mes siguiente,1
"Sobre LCSP II (18), ¿qué órgano ostenta, por regla general en el ámbito local, la competencia residual?",El Alcalde o Presidente,El Pleno,La Junta de Gobierno Local,La Comisión Especial de Cuentas,1
"Respecto a LCSP II (19), ¿cuál de los siguientes es un trámite esencial que, de omitirse, generaría indefensión?",Audiencia a los interesados en el momento procedimental oportuno,Consulta al Ministerio,Autorización previa del órgano superior jerárquico,Informe del Consejo de Estado en todo caso,1
"En relación con LCSP II (20), ¿qué mayoría es necesaria para la aprobación inicial de un acuerdo complejo en este ámbito (suponiendo aplicación LBRL)?",Mayoría simple,Mayoría absoluta,Unanimidad,Mayoría de 2/3,2
