Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según el artículo 3 de la Ley 4/2023, ¿cuál es la definición de 'identidad sexual'?","La forma en la que cada persona presenta su género al resto del mundo, a través de su nombre, vestimenta, comportamiento u otros signos externos.","La vivencia interna e individual del sexo tal y como cada persona la siente y autodefine, pudiendo o no corresponder con el sexo asignado al nacer.","La atracción física, romántica o emocional permanente hacia personas del mismo sexo, de distinto sexo o de más de un sexo.","Las características sexuales (cromosómicas, gonadales y anatómicas) que no se ajustan a las nociones médicas de los cuerpos de hombre o mujer.",2
¿Cómo define la Ley 4/2023 la 'expresión de género'?,La atracción sexual y afectiva hacia personas con independencia de su sexo o género.,La manifestación de las características anatómicas primarias y secundarias con las que se inscribe al nacer en el Registro Civil.,"La manifestación externa del comportamiento, apariencia o indumentaria de una persona, mediante la cual expresa el género con el que se identifica o que le es percibido por los demás.",El documento oficial en el que consta la rectificación registral de la mención relativa al sexo.,3
La Ley 4/2023 es de aplicación (Art. 2):,Únicamente a la Administración General del Estado y sus organismos autónomos.,Sólo a las entidades privadas que reciban subvenciones públicas y a la función pública.,"A todas las personas físicas o jurídicas, públicas o privadas, en los términos establecidos en la misma, garantizando su aplicación en todo el territorio nacional.","A los ciudadanos españoles, quedando excluidas expresamente las personas extranjeras que se encuentren en territorio español.",3
"Según la Ley 4/2023, ¿qué se entiende por 'discriminación múltiple'?",Aquella discriminación que se produce de forma continuada en el tiempo (más de tres actos discriminatorios probados en el plazo de un año).,"Aquella que se produce cuando una persona es discriminada simultáneamente o de forma consecutiva por dos o más causas establecidas en la ley, de modo que cada una de las causas puede separarse y recibir un tratamiento jurídico distinto.",Aquella discriminación indirecta que afecta a un colectivo superior a 10 personas en el marco de una misma empresa o centro de estudio.,La concurrencia o interacción de diversas causas de discriminación que generan una forma específica de discriminación que no habría existido si dichas causas hubieran operado de forma separada (sinergia).,2
"En materia de carga de la prueba (Art. 6), ¿cuándo corresponderá al demandado probar que su actuación fue objetiva, proporcionada y razonablemente justificada?","En cualquier tipo de procedimiento administrativo, sancionador, civil, social y penal.",Únicamente en los procedimientos sancionadores incoados por la Inspección de Trabajo.,"En aquellos procedimientos en que la parte actora o interesada alegue discriminación por razón de las causas previstas en esta ley y aporte indicios fundados sobre su existencia, excluidos los procesos penales.",Solo cuando el demandante sea una Asociación LGTBI declarada de utilidad pública que actúe en representación de un colectivo.,3
"El artículo 7 sobre 'Tutela y reparación' establece que la protección frente a la vulneración de los derechos reconocidos en esta ley comprenderá, entre otras medidas:","Únicamente el cese de la conducta discriminatoria, sin posibilidad de solicitar indemnización por daño moral, pues este se presume no cuantificable.",La imposición preceptiva de una pena de prisión de seis meses a tres años en la vía civil.,"El cese del comportamiento discriminatorio, medidas cautelares, restitución a la situación anterior a la discriminación y reparación de daños morales y materiales, además de indemnizaciones.","La cancelación automática de la licencia de apertura de establecimientos comerciales al primer indicio fundado, sin audiencia previa.",3
"Según la Ley 4/2023, la indemnización por el daño moral derivado de una situación de discriminación o acoso:",Deberá ser tasada exclusivamente en función de la pérdida de ingresos demostrable (lucro cesante).,"Se valorará atendiendo a las circunstancias del caso, la concurrencia o interacción de diversas causas de discriminación, y la gravedad de la lesión efectivamente producida, entendiéndose en todo caso que el daño moral se presume si se acredita la discriminación, el acoso o la represalia.","Se limitará a un máximo de 3.000 euros, a menos que exista parte de lesiones físicas.","Sólo se concederá si el infractor es una persona jurídica, siendo responsables solidarios los directivos de la entidad, no concediéndose frente a personas físicas.",2
¿Cómo define la Ley 4/2023 la 'orientación sexual'?,"Como la atracción física, romántica o emocional hacia personas del mismo sexo, de distinto sexo o de más de un sexo.",Como el rechazo instintivo o aversión hacia personas del colectivo LGTBI.,Como la adaptación quirúrgica de las características sexuales secundarias para asemejarse al género sentido.,Como la vivencia interna del sexo que no coincide con el sexo biológico asignado al nacer.,1
"El término 'represalia', según las definiciones de la ley, hace referencia a:",Cualquier comportamiento basado en características sexuales que tiene por objeto o produce el efecto de atentar contra la dignidad de la persona y de crear un entorno intimidatorio.,"Cualquier trato adverso o efecto negativo que se produzca contra una persona como consecuencia de la presentación de una queja, reclamación, denuncia, demanda o recurso, destinado a impedir su discriminación.",La instrucción o recomendación a otra persona de practicar la discriminación hacia una tercera persona por ser LGTBI.,La incitación directa al odio o a la violencia a través de medios de comunicación de masas o redes sociales contra el colectivo LGTBI.,2
De conformidad con el art. 5 de la Ley 4/2023 (Nulidad de cláusulas y actos discriminatorios):,Son nulos de pleno derecho los actos y cláusulas de los negocios jurídicos que constituyan o causen discriminación por razón de las causas previstas en esta ley.,Se considerarán meramente anulables a instancia de parte en el plazo máximo de tres meses desde su firma o emisión.,Son plenamente válidos si se han adoptado con el consentimiento explícito y por escrito de la persona afectada que acepta libremente renunciar a sus derechos en el ámbito privado contractual.,Serán sometidos a mediación obligatoria antes de que un juzgado pueda declarar su nulidad formal.,1
