Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
¿Cuál es la primera fase del procedimiento de ejecución del presupuesto de gastos?,Autorización del gasto,Disposición o compromiso del gasto,Reconocimiento de la obligación,Ordenación del pago,1
"El acto por el que se acuerda la realización de un gasto determinado por una cuantía cierta, reservando a tal fin la totalidad o parte del crédito disponible se denomina...",Autorización,Disposición o compromiso,Reconocimiento de la obligación,Liquidación,2
Los pagos a justificar son...,Órdenes de pago expedidas para atender gastos sin la previa aportación de documentación justificativa,Fondos de carácter permanente para gastos periódicos,Adelantos de nómina a funcionarios,Transferencias entre cuentas del propio Ayuntamiento,1
Los anticipos de caja fija...,Tienen la consideración de pagos a justificar,Son provisiones de fondos de carácter extrapresupuestario y permanente,Caducan al final del trimestre,Solo pueden destinarse a inversiones reales,2
"¿A quién compete, como regla general, la ordenación de los pagos en el Ayuntamiento?",Al Pleno,Al Interventor,Al Tesorero,Al Alcalde o Presidente,4
Fases de ejecución del Gasto (Variante operativa 1): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 2): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 3): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 4): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 5): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 6): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 7): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 8): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 9): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 10): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 11): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 12): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 13): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 14): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
Fases de ejecución del Gasto (Variante operativa 15): El reconocimiento y liquidación de la obligación...,Es el acto mediante el que se declara la existencia de un crédito exigible,Es previo al compromiso de gasto,Lo realiza el Pleno obligatoriamente,No requiere justificación documental,1
