Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución
"Según el TREBEP, ¿cuál de las siguientes es una retribución complementaria?",El sueldo base,Los trienios,Las pagas extraordinarias,El complemento de destino,4
Un funcionario que es elegido Diputado de las Cortes Generales pasa a la situación de...,Excedencia voluntaria por interés particular,Servicios especiales,Excedencia forzosa,Servicio activo,2
La falta de asistencia al trabajo no justificada que no constituya falta muy grave o grave se considera...,Falta muy grave,Falta grave,Falta leve,No es sancionable,3
El derecho a la carrera profesional horizontal consiste en...,El ascenso en la estructura de puestos de trabajo,"La progresión de grado, categoría o escalón sin necesidad de cambiar de puesto",El acceso a otro cuerpo o escala de un subgrupo superior,La subida del sueldo base cada año,2
La sanción de suspensión firme de funciones...,Puede durar hasta 10 años,No podrá exceder de 6 años,Implica la pérdida del puesto de trabajo desde el primer día,No afecta a los derechos económicos,2
Derechos y Disciplina del E.P. (Caso 1): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 2): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 3): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 4): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 5): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 6): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 7): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 8): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 9): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 10): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 11): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 12): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 13): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 14): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
Derechos y Disciplina del E.P. (Caso 15): Si un funcionario es sancionado con despido disciplinario...,Esto solo es aplicable al personal laboral,Es una sanción aplicable a funcionarios de carrera,Se tramita sin expediente contradictorio,Permite el reingreso al año,1
