Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Para que un acto administrativo sea válido, según la Ley 39/2015, sus requisitos son:","Subjetivos, objetivos, formales y teológicos","Competencia, contenido, finalidad y forma","Producción, motivación, contenido y notificación","Eficacia, ejecutividad, presunción de validez y forma",2
¿Qué actos NO requieren ser motivados según el art. 35?,Los actos que limiten derechos subjetivos,Los que resuelvan recursos administrativos,Los que se separen del criterio seguido en actuaciones precedentes,Los actos de mero trámite que no determinen la imposibilidad de continuar el procedimiento,4
La eficacia de los actos administrativos (art. 39):,Quedará demorada siempre hasta su notificación,"Se presumirá válida y producirá efectos desde la fecha en que se dicten, salvo que dispongan otra cosa",Se producirá desde el día siguiente al de su firma,No existe presunción de validez en los actos de gravamen,2
Retroactividad de los actos administrativos (art. 39.3):,Nunca tienen eficacia retroactiva,Podrán tenerla excepcionalmente si son favorables al interesado y no lesionan derechos de terceros,La tienen siempre si sustituyen a actos nulos,Tienen eficacia retroactiva cuando lo solicite el interesado,2
La notificación de las resoluciones y actos administrativos (art. 40) debe cursarse en el plazo de:,10 días a partir de la fecha en que el acto haya sido dictado,10 días hábiles desde que entró en el registro,15 días naturales desde que se dictan,30 días según el procedimiento común,1
¿Cuándo se entiende cumplida la obligación de notificar dentro del plazo máximo del procedimiento?,Cuando se lea la notificación por el interesado,"Cuando la notificación contenga el texto íntegro, aunque omita los recursos",Cuando se ponga a disposición del interesado en la sede electrónica o se realice el primer intento de notificación,Cuando el aviso de puesta a disposición llegue al email del interesado,3
Notificaciones defectuosas (art. 40.3):,Son siempre nulas de pleno derecho,Surtirán efecto a partir de la fecha en que el interesado realice actuaciones que supongan el conocimiento del contenido del acto,No se convalidan en ningún caso,Caducan a los 3 meses,2
Si una notificación electrónica se pone a disposición del interesado y este no accede a su contenido:,Se entenderá rechazada a los 10 días naturales desde la puesta a disposición,Se entenderá rechazada a los 10 días hábiles,Se realizará la publicación en el BOE a los 15 días,Se enviará por correo postal certificado,1
La publicación de un acto sustituye a la notificación (art. 45):,Cuando el acto sea favorable al interesado,"Cuando el destinatario sea plural, o cuando se trate de procesos selectivos o de concurrencia competitiva",Siempre que lo determine el órgano competente discrecionalmente,Cuando el acto sea nulo o anulable,2
"En relación a las notificaciones en papel (art. 42), si el interesado no está presente en el domicilio en el primer intento:",Se dejará aviso y se procederá a la publicación en el BOE,Se intentará por segunda vez en una hora distinta dentro de los 3 días siguientes,Se intentará una sola vez más al día siguiente a la misma hora,Se le notificará electrónicamente de oficio,2
¿Qué ocurre si el segundo intento de notificación en papel también resulta infructuoso?,El acto se declara nulo,Se procede a su publicación en el BOE,Se notifica a través del tablón de edictos del Ayuntamiento,Se archiva el procedimiento,2
El contenido de la notificación (art. 40.2) debe incluir obligatoriamente:,Únicamente el texto íntegro de la resolución,"El texto íntegro, indicación de si agota o no la vía administrativa, recursos, órgano y plazos",El resumen del acto y el órgano competente,El texto íntegro y la firma electrónica del funcionario,2
Los actos de las AAPP sujetos al Derecho Administrativo serán ejecutivos (art. 38):,"En ningún caso, necesitan autorización judicial",Con arreglo a lo dispuesto en la Ley 39/2015,Solo cuando sean actos firmes en vía administrativa,Cuando lo solicite el interesado,2
La motivación de los actos que pongan fin a los procedimientos selectivos (art. 35.2):,Será siempre detallada con las notas de todos los candidatos,Se realizará de conformidad con lo que dispongan las bases de la convocatoria,No es necesaria,Solo procede para el candidato que no superó el proceso,2
Sobre la forma de los actos administrativos (art. 36):,"Se producirán por escrito a través de medios electrónicos, a menos que su naturaleza exija otra forma más adecuada",Deben ser siempre verbales y luego transcritos,Solo se admiten en formato papel,La forma electrónica es opcional para la Administración,1
Cuando un acto administrativo sea dictado de forma verbal:,La constancia escrita del acto se efectuará por el órgano inferior que la reciba,La constancia escrita indicará el titular del órgano que la emitió,Se exigirá que el interesado la grabe,No tiene validez jurídica,2
Condiciones para el rechazo de la notificación (art. 41.5):,Solo se admite si lo hace un representante legal,"Si se rechaza, se hará constar en el expediente y se tendrá por efectuado el trámite continuándose el procedimiento",El rechazo paraliza el procedimiento hasta su publicación en el BOE,No es posible rechazar una notificación electrónica,2
¿A quién se envían los avisos de notificación electrónica?,A la sede electrónica del órgano instructor,Al buzón físico del interesado,"Al dispositivo electrónico o correo electrónico comunicado por el interesado (mero aviso, no es la notificación en sí)",Al Registro General de la AGE,3
El aviso de notificación:,Es obligatorio y su falta invalida la notificación electrónica,"Si se omite, no impide que la notificación sea considerada plenamente válida",Es la notificación formal del acto,Debe incluir el texto íntegro del acto,2
Las resoluciones que resuelvan recursos de alzada:,Deben motivarse en todo caso,Solo se motivan si desestiman el recurso,No necesitan motivación si confirman el acto inicial,Se motivan solo si el interesado lo pide,1
