Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"¿Quién tiene capacidad de obrar ante las Administraciones Públicas, además de los que la ostentan con arreglo a las normas civiles?",Cualquier persona que se encuentre en territorio español.,Los menores de edad para el ejercicio y defensa de aquellos de sus derechos cuya actuación esté permitida sin asistencia de quien ejerza la patria potestad.,Únicamente las personas jurídicas legalmente constituidas.,Las uniones sin personalidad jurídica en todos los casos sin excepción.,2
"En cuanto al cómputo de plazos por días, si la ley no expresa otra cosa, se entienden siempre como:",Días naturales.,"Días hábiles, excluyendo sábados, domingos y los declarados festivos.","Días hábiles, incluyendo los sábados.","Días laborables, según el calendario de la empresa privada.",2
"Si un plazo se fija en meses y en el mes de vencimiento no hay día equivalente a aquel en que comienza el cómputo, ¿cuándo expira el plazo?",El primer día del mes siguiente.,El último día del mes de vencimiento.,El día equivalente del mes anterior.,El plazo se amplía automáticamente 5 días hábiles.,2
¿Qué derecho NO se reconoce explícitamente a los interesados en el art. 53 de la Ley 39/2015?,A conocer el estado de tramitación de los procedimientos en los que tengan la condición de interesados.,A no presentar documentos originales salvo que la normativa exija expresamente lo contrario.,A elegir libremente al empleado público que tramitará su expediente.,A formular alegaciones y aportar documentos en cualquier fase del procedimiento anterior al trámite de audiencia.,3
La ampliación de los plazos no excederá de:,"La mitad de los mismos, si las circunstancias lo aconsejan y no se perjudican derechos de tercero.",El doble del plazo original.,Un tercio del plazo establecido.,10 días hábiles en cualquier caso.,1
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",4
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Supone una vulneración del principio de tipicidad sancionadora.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,2
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,3
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,3
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Determinará el archivo automático de las actuaciones sin recurso posible.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,2
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Es competencia exclusiva del Consejo de Ministros.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,1
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",Es competencia exclusiva del Consejo de Ministros.,3
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",4
"En relación con el contenido específico del Interesados y Plazos (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el interesados y plazos.",4
