Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Según el artículo 47 de la Ley 39/2015, ¿cuál de estos supuestos implica nulidad de pleno derecho?",El defecto de forma en todo caso.,Los actos dictados prescindiendo total y absolutamente del procedimiento legalmente establecido.,La incompetencia jerárquica del órgano que lo dicta.,El incumplimiento de los plazos establecidos para resolver.,2
¿El defecto de forma cuándo determina la anulabilidad del acto?,Siempre que exista cualquier defecto formal.,Cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin o dé lugar a la indefensión de los interesados.,Cuando el interesado lo alegue en un recurso de alzada.,Solo cuando afecte a plazos esenciales del procedimiento.,2
"En relación con el principio de conservación de actos, si un acto nulo contiene los elementos constitutivos de otro distinto:",Producirá los efectos de este último.,Será nulo de igual modo.,Deberá dictarse nueva resolución que convalide el primero.,Se aplicará la técnica de la retroacción de actuaciones.,1
La convalidación de un acto anulable por incompetencia jerárquica podrá ser realizada:,Por el órgano que dictó el acto.,Por el órgano superior jerárquico del que lo dictó.,Por el Consejo de Estado.,Por el interesado aceptando expresamente la competencia.,2
La realización de actuaciones administrativas fuera del tiempo establecido para ellas:,Implica siempre la nulidad del acto.,"Determina la anulabilidad, pero solo si así lo impone la naturaleza del término o plazo.",Produce la caducidad del procedimiento en todos los casos.,No tiene ninguna consecuencia jurídica.,2
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",4
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Es competencia exclusiva del Consejo de Ministros.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Determinará el archivo automático de las actuaciones sin recurso posible.,Determinará el archivo automático de las actuaciones sin recurso posible.,2
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",4
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Determinará el archivo automático de las actuaciones sin recurso posible.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Es competencia exclusiva del Consejo de Ministros.,1
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Es un trámite de carácter meramente facultativo y no vinculante.,3
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,3
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 15), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",4
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 16), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",4
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 17), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Es un trámite de carácter meramente facultativo y no vinculante.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",4
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 18), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Determinará el archivo automático de las actuaciones sin recurso posible.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,1
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 19), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Invalidez del Acto (Pregunta avanzada 20), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el invalidez del acto.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Es un trámite de carácter meramente facultativo y no vinculante.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
