Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según el artículo 81 de la CE, ¿qué materias están reservadas a Ley Orgánica?","Las relativas al desarrollo de los derechos fundamentales y libertades públicas, las que aprueben los Estatutos de Autonomía, el régimen electoral general y las demás previstas en la Constitución.",Cualquier materia que el Gobierno considere de especial transcendencia social.,Las materias relativas a los Presupuestos Generales del Estado y a la organización territorial.,Únicamente el régimen electoral general y el Defensor del Pueblo.,1
"Para la aprobación, modificación o derogación de una Ley Orgánica se exige:",Mayoría absoluta del Senado en una votación final sobre el conjunto del proyecto.,"Mayoría absoluta del Congreso, en una votación final sobre el conjunto del proyecto.",Mayoría de dos tercios del Congreso y mayoría absoluta del Senado.,Mayoría simple de ambas Cámaras en sesión conjunta.,2
"En caso de extraordinaria y urgente necesidad, el Gobierno podrá dictar disposiciones legislativas provisionales que tomarán la forma de:",Decretos Legislativos.,Reales Decretos.,Decretos-leyes.,Leyes Ordinarias Urgentes.,3
Los Decretos-leyes NO podrán afectar a...,La materia tributaria bajo ninguna circunstancia.,"El ordenamiento de las instituciones básicas del Estado, a los derechos, deberes y libertades de los ciudadanos regulados en el Título I, al régimen de las CCAA ni al Derecho electoral general.",Los presupuestos ministeriales anuales ni a las normativas de tráfico.,La firma de Tratados Internacionales de paz y seguridad.,2
Un Decreto-ley debe ser sometido a debate y votación de totalidad al Congreso de los Diputados en un plazo máximo de...,15 días siguientes a su promulgación.,30 días siguientes a su publicación.,30 días siguientes a su promulgación.,2 meses desde su entrada en vigor.,3
Las Cortes Generales podrán delegar en el Gobierno la potestad de dictar normas con rango de ley (Decretos Legislativos). Esta delegación deberá otorgarse mediante:,"Una Ley de bases cuando su objeto sea la formación de textos articulados, o por una ley ordinaria cuando se trate de refundir varios textos legales en uno solo.",Una Ley Orgánica en todo caso.,Un Real Decreto aprobado en Consejo de Ministros.,Una resolución conjunta del Congreso y del Senado.,1
"En relación a la delegación legislativa (art. 82 CE), ¿puede el Gobierno subdelegar esta facultad a autoridades distintas?","Sí, siempre que lo apruebe el Consejo de Estado.","Sí, si se subdelega en un Ministro del área competente.","No, la delegación no podrá permitir la subdelegación a autoridades distintas del propio Gobierno.","Sí, mediante una orden ministerial específica.",3
"En la jerarquía normativa española (art. 1.2 del Código Civil), carecerán de validez las disposiciones que...",Contradigan a los principios generales del derecho en cualquier caso.,Contradigan a otra de rango superior.,Contradigan a la costumbre de un lugar determinado.,No cuenten con el dictamen del Consejo de Estado.,2
"Según el Código Civil, la costumbre sólo regirá:","Por encima de la ley, si es probada y no atenta contra el orden público.","En defecto de ley aplicable, siempre que no sea contraria a la moral o al orden público, y que resulte probada.",Únicamente en el ámbito mercantil y agrario.,Cuando lo autorice el Juez en el curso de un procedimiento civil.,2
La jurisprudencia (art. 1.6 del Código Civil):,"Es fuente formal y primaria del derecho, al mismo nivel que la Ley.","Complementará el ordenamiento jurídico con la doctrina que, de modo reiterado, establezca el Tribunal Supremo al interpretar y aplicar la ley, la costumbre y los principios generales del derecho.",Obliga a los legisladores a modificar las leyes automáticamente si hay dos fallos contradictorios.,"Sólo se aplica si no existe ley, costumbre ni principio general del derecho.",2
"¿Qué artículo de la CE regula la necesidad de autorización previa de las Cortes para obligarse mediante Tratados Internacionales de carácter político, militar o que afecten a la integridad territorial?",Artículo 93.,Artículo 94.1.,Artículo 96.,Artículo 81.,2
La celebración de un Tratado Internacional que contenga estipulaciones contrarias a la Constitución exigirá (art. 95 CE):,Su aprobación inmediata por las Cortes mediante Ley Orgánica.,La previa revisión constitucional.,El dictamen vinculante del Tribunal de Cuentas.,La convocatoria obligatoria de referéndum.,2
"Los Reglamentos, al ser dictados por el poder ejecutivo, se ordenan jerárquicamente. ¿Cuál es el orden correcto de mayor a menor rango normativo?",Órdenes Ministeriales > Reales Decretos > Circulares.,Reales Decretos (Presidente o Consejo de Ministros) > Órdenes de las Comisiones Delegadas del Gobierno > Órdenes Ministeriales > Resoluciones.,Resoluciones > Reales Decretos > Órdenes Ministeriales.,Leyes Ordinarias > Reglamentos Autonómicos > Órdenes Ministeriales.,2
"¿Puede un reglamento tipificar delitos, faltas o infracciones administrativas de forma originaria (sin habilitación legal previa)?","Sí, siempre que no impliquen penas privativas de libertad.","No, ello vulneraría el principio de reserva de ley (art. 25.1 CE).","Sí, mediante los bandos de policía y buen gobierno municipales.","Sí, si lo aprueba el Consejo de Ministros.",2
La publicación de los tratados internacionales válidamente celebrados para que formen parte del ordenamiento interno (art. 96 CE) se realiza en:,El Diario Oficial de la Unión Europea (DOUE).,El Boletín Oficial del Estado (BOE).,El Boletín de las Cortes Generales.,El Registro de Instrumentos Internacionales del Ministerio de Asuntos Exteriores.,2
