Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
¿Cuál de los siguientes actos administrativos NO requiere motivación explícita según el art. 35 de la Ley 39/2015?,Los actos que limiten derechos subjetivos.,Los que resuelvan procedimientos de revisión de oficio.,Los que se aparten del criterio seguido en actuaciones precedentes.,Los actos que resuelvan procedimientos de concurrencia competitiva cuando no sea la resolución final.,4
"En cuanto a la forma de los actos administrativos, si los órganos administrativos ejercen su competencia de forma verbal, ¿cómo se documenta?",No requiere constancia escrita salvo que afecte a terceros.,El titular del órgano inferior o funcionario que la reciba expedirá resolución por escrito.,Se levantará acta notarial por el Secretario del órgano.,El órgano superior emitirá siempre un certificado en 24 horas.,2
"Sobre los requisitos de los actos administrativos, el contenido de los mismos se ajustará a lo dispuesto por el ordenamiento jurídico y será:","Proporcional, lícito y ejecutable.","Lícito, posible, determinado o determinable y adecuado a los fines.","Determinado en todo caso, sin posibilidad de ser determinable a posteriori.",Adecuado a los fines de la Administración sin necesidad de concreción inicial.,2
¿Qué requisito NO es indispensable en la motivación de los actos que pongan fin a los procedimientos selectivos?,Deben estar en todo caso motivados conforme a las normas que regulen sus convocatorias.,Deben justificar obligatoriamente la puntuación de cada aspirante no seleccionado de forma individualizada y notificada.,La motivación debe acreditar en el procedimiento los fundamentos de la resolución que se adopte.,Se deben motivar para evitar la arbitrariedad de los órganos de selección.,2
"Un acto administrativo dictado por un órgano incompetente por razón del territorio, pero que cumple los demás requisitos:",Es nulo de pleno derecho en todo caso.,Es anulable y convalidable.,Es nulo de pleno derecho y no convalidable.,Es anulable pero no puede ser convalidado.,2
"En relación con el contenido específico del Acto Administrativo (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acto administrativo.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,2
"En relación con el contenido específico del Acto Administrativo (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Determinará el archivo automático de las actuaciones sin recurso posible.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acto administrativo.",4
"En relación con el contenido específico del Acto Administrativo (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acto administrativo.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,3
"En relación con el contenido específico del Acto Administrativo (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acto administrativo.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,3
"En relación con el contenido específico del Acto Administrativo (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acto administrativo.",Supone una vulneración del principio de tipicidad sancionadora.,Determinará el archivo automático de las actuaciones sin recurso posible.,2
