Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según el artículo 6 de la LO 3/2007, ¿qué se considera discriminación indirecta por razón de sexo?","La situación en que se encuentra una persona que sea, haya sido o pudiera ser tratada de manera menos favorable que otra en situación comparable, por razón de su sexo.",Cualquier comportamiento verbal de naturaleza sexual que tenga el propósito de atentar contra la dignidad de una persona.,"La situación en que una disposición, criterio o práctica aparentemente neutros pone a personas de un sexo en desventaja particular con respecto a personas del otro, salvo que pueda justificarse objetivamente.",Todo trato desfavorable relacionado con el embarazo o la maternidad.,3
"El acoso sexual y el acoso por razón de sexo, según la LO 3/2007:",Solo se consideran discriminatorios si van acompañados de violencia física o amenaza.,Se considerarán en todo caso discriminatorios.,Son conductas sancionables solo si el afectado lo denuncia en un plazo de 5 días hábiles.,Solo se aplica en el ámbito estricto de la función pública.,2
"Según el artículo 11 (Acciones positivas), los Poderes Públicos adoptarán medidas específicas en favor de las mujeres para corregir situaciones de desigualdad. Tales medidas...",Serán permanentes y se integrarán en el marco constitucional indefinidamente.,"Habrán de ser aplicables en tanto subsistan dichas situaciones, debiendo ser razonables y proporcionadas en relación con el objetivo perseguido.",Tienen como finalidad sustituir el principio de mérito y capacidad en el acceso al empleo público en su totalidad.,Solo pueden consistir en ayudas económicas directas a asociaciones feministas.,2
"En materia de tutela judicial efectiva (art. 13), en aquellos procesos jurisdiccionales (salvo los penales) en los que de las alegaciones de la parte actora se deduzca la existencia de indicios fundados de discriminación por razón de sexo:",El Juez de oficio desestimará la demanda por falta de pruebas plenas.,"Corresponderá a la parte demandada la aportación de una prueba objetiva y razonable, suficientemente probada, de las medidas adoptadas y de su proporcionalidad.",La carga de la prueba recae íntegramente sobre el Ministerio Fiscal.,La carga de la prueba corresponderá de forma absoluta al demandante que alega la discriminación.,2
"Según el artículo 45 de la LO 3/2007, la elaboración y aplicación de un plan de igualdad será obligatoria (tras las últimas reformas del RDL 6/2019) para empresas con:",Más de 250 trabajadores.,50 o más trabajadores.,Más de 100 trabajadores.,"Cualquier empresa, independientemente del número de trabajadores, si es de nueva creación.",2
El distintivo 'Igualdad en la Empresa' regulado en el art. 50 de la LO 3/2007 es:,Una marca registrada obligatoria que deben exhibir las empresas del IBEX 35 en su publicidad.,Un reconocimiento que otorga el Ministerio correspondiente a aquellas empresas que destaquen por la aplicación de políticas de igualdad de trato y de oportunidades en las condiciones de trabajo.,Una sanción impuesta por la Inspección de Trabajo a las empresas que carecen de plan de igualdad.,Una cuota o impuesto especial que se abona al Tesoro Público para la creación de observatorios de igualdad.,2
"El principio de 'presencia o composición equilibrada' (Disposición Adicional Primera de la LO 3/2007) establece que en los órganos o cargos, las personas de cada sexo no superen el...",50% ni sean menos del 50%.,60% ni sean menos del 40%.,70% ni sean menos del 30%.,75% ni sean menos del 25%.,2
"Todo trato desfavorable a las mujeres relacionado con el embarazo o la maternidad, constituye:",Una falta leve en el ámbito laboral según el Estatuto de los Trabajadores.,"Discriminación indirecta, susceptible de subsanación administrativa.",Discriminación directa por razón de sexo.,"Una vulneración del derecho a la intimidad, pero no discriminación por razón de sexo.",3
Los planes de igualdad en las empresas (art. 46):,"Son un conjunto ordenado de medidas, adoptadas después de realizar un diagnóstico de situación, tendentes a alcanzar en la empresa la igualdad de trato y de oportunidades entre mujeres y hombres y a eliminar la discriminación por razón de sexo.",Son documentos estadísticos anuales de obligada presentación en la Seguridad Social con la relación de salarios por sexo.,Son recomendaciones internacionales de la OIT sobre cuotas de contratación femenina en el sector logístico.,Son exclusivamente protocolos para la prevención del acoso sexual en el trabajo.,1
"Según el art. 19 de la LO 3/2007, los proyectos de disposiciones de carácter general (leyes y reglamentos) que se sometan a la aprobación del Consejo de Ministros deberán incorporar:",Una dotación presupuestaria específica para políticas de género.,Un dictamen vinculante del Instituto de la Mujer.,Un informe sobre su impacto por razón de género.,Una cláusula de exención de aplicación temporal por motivos de igualdad.,3
"El artículo 8 establece que cualquier trato adverso por el ejercicio de los derechos de conciliación de la vida personal, familiar y laboral (como permisos por nacimiento o lactancia)...",Será considerado infracción leve por la Inspección de Trabajo si no se demuestra perjuicio económico grave.,Se reputará discriminación indirecta por razón de sexo.,Constituye discriminación por razón de sexo.,Solo será recurrible si afecta a empleados públicos con plaza en propiedad.,3
"El Plan Estratégico de Igualdad de Oportunidades, previsto en el art. 17, será aprobado por:",El Ministerio de Igualdad (o departamento competente).,El Congreso de los Diputados por mayoría absoluta.,El Gobierno.,La Comisión Interministerial de Igualdad.,3
La creación de Unidades de Igualdad en la Administración General del Estado (art. 77) se realiza en:,Todos los Ministerios.,Exclusivamente en el Ministerio de Trabajo y en el Ministerio de Igualdad.,Solo en las Direcciones Generales con más de 100 empleados públicos.,"En los Ministerios de áreas sociales y de educación, no siendo obligatorio en Hacienda o Defensa.",1
El Consejo de Participación de la Mujer (art. 78) es:,Un tribunal de arbitraje laboral exclusivo para mujeres directivas.,"Un órgano colegiado de consulta y asesoramiento, con el fin esencial de servir de cauce para la participación de las mujeres en la consecución efectiva del principio de igualdad de trato y de oportunidades.",Un departamento ejecutivo integrado en el Defensor del Pueblo para tramitar quejas de discriminación salarial.,La asamblea de todas las diputadas y senadoras de las Cortes Generales que revisa las leyes antes de su aprobación.,2
La indemnización por discriminación (art. 10 de la LO 3/2007):,Estará topada a un máximo de 6 mensualidades del salario mínimo interprofesional.,"No existe, solo cabe ordenar el cese del acto discriminatorio y la restitución a la situación anterior.","Será real, efectiva y proporcionada al perjuicio sufrido, así como disuasoria, incluyéndose los daños morales.",Se determinará exclusivamente por baremos fijos en función de los días de retraso en la subsanación de la discriminación.,3
"En materia de negociación colectiva (art. 43), los convenios colectivos...",Podrán establecer medidas de acción positiva para favorecer el acceso de las mujeres al empleo y la aplicación del principio de igualdad de trato en las condiciones de trabajo.,"No pueden abordar materias de igualdad, ya que son competencia exclusiva del poder legislativo.","Tienen prohibido alterar los criterios de selección de personal para no discriminar al hombre, invalidando toda acción positiva.",Sólo incluirán planes de igualdad si la empresa tiene más de 1.000 trabajadores.,1
¿Es nulo cualquier acto o cláusula de los negocios jurídicos que constituya o cause discriminación por razón de sexo?,"No, son simplemente anulables a petición de parte en un plazo de un año.","Sí, serán nulos y sin efecto, y darán lugar a responsabilidad a través de un sistema de reparaciones o indemnizaciones que sean reales, efectivas y proporcionales.","Sí, pero solo en el ámbito de los contratos laborales, excluyendo los contratos mercantiles o de prestación de servicios.","No, si el trabajador firmó libre y voluntariamente prestando su consentimiento expreso al momento de la contratación.",2
