Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
La actividad de policía de la Administración implica:,La asunción de la gestión directa de un servicio por la Administración.,La limitación o condicionamiento de la actividad de los particulares por razones de interés general.,La entrega de ayudas dinerarias a empresas.,El fomento de actividades culturales.,2
La declaración responsable es:,Un documento donde la Administración autoriza una actividad sujeta a riesgo.,"El documento suscrito por un interesado en el que manifiesta, bajo su responsabilidad, que cumple con los requisitos establecidos en la normativa vigente para el ejercicio de un derecho o actividad.",Un informe preceptivo de la policía local.,La comunicación que se hace al juez tras una infracción.,2
"A diferencia de la autorización administrativa, la comunicación previa:",Requiere un acto expreso de la Administración para iniciar la actividad.,"Es un documento mediante el cual los interesados ponen en conocimiento de la Administración sus datos o los de una actividad para iniciarla, sin esperar respuesta expresa.",Está prohibida en la normativa europea.,Solo sirve para informar sobre el cese de una actividad.,2
"Si se comprueba la inexactitud, falsedad u omisión de carácter esencial en una declaración responsable, el efecto principal es:","La imposibilidad de continuar con el ejercicio del derecho o actividad afectada desde el momento en que se tenga constancia, sin perjuicio de las responsabilidades a que hubiera lugar.",Una multa fija de 3.000 euros sin paralizar la actividad.,La obligación de subsanarlo en 6 meses mientras sigue la actividad.,El traspaso de la actividad a titularidad pública.,1
La técnica autorizatoria en el ámbito de la Directiva de Servicios del Mercado Interior (Bolkestein):,Se establece como la regla general absoluta.,"Debe ser excepcional y estar justificada por razones imperiosas de interés general, siendo proporcionada y no discriminatoria.",Se prohíbe en todos los sectores económicos.,Queda reservada únicamente para la Administración del Estado.,2
"En relación con el contenido específico del Acción de Policía (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acción de policía.",Supone una vulneración del principio de tipicidad sancionadora.,Supone una vulneración del principio de tipicidad sancionadora.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,1
"En relación con el contenido específico del Acción de Policía (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acción de policía.",4
"En relación con el contenido específico del Acción de Policía (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acción de policía.",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,3
"En relación con el contenido específico del Acción de Policía (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acción de policía.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Acción de Policía (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el acción de policía.",4
