Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Si una notificación electrónica se pone a disposición del interesado pero este no accede a su contenido, ¿cuándo se entiende rechazada?",A los 5 días naturales.,A los 10 días hábiles.,A los 10 días naturales.,A los 15 días hábiles.,3
"Cuando la notificación se practique en el domicilio del interesado y este no se halle presente en el primer intento, el segundo intento deberá realizarse:","En una hora distinta dentro de los tres días siguientes, dejando al menos un margen de tres horas entre ambos intentos.",En cualquier momento del día siguiente.,En un margen de 24 horas respecto al primer intento.,"En una hora distinta dentro de los tres días siguientes, dejando un margen mínimo de dos horas.",1
"En un procedimiento iniciado a solicitud del interesado, si la notificación es defectuosa, ¿cuándo surtirá efectos?",Desde el momento en que se intentó por segunda vez.,Desde la fecha en que el interesado realice actuaciones que supongan el conocimiento del contenido del acto o interponga recurso.,"Nunca, el acto es nulo de pleno derecho.",A los 20 días de la publicación en el BOE.,2
La publicación de un acto administrativo sustituirá a la notificación cuando:,Lo disponga el órgano instructor del procedimiento.,El acto tenga por destinatario a una pluralidad indeterminada de personas o cuando la Administración estime que la notificación a un solo interesado es insuficiente.,El interesado rechace expresamente la notificación en formato papel.,Se trate de procedimientos sancionadores exclusivamente.,2
La eficacia de un acto administrativo quedará demorada cuando:,"Lo exija el contenido del acto o esté supeditada a su notificación, publicación o aprobación superior.",Se trate de un acto favorable para el interesado.,El acto sea firme en vía administrativa.,Lo solicite el interesado en cualquier momento del procedimiento.,1
"En relación con el contenido específico del Eficacia y Notificación (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el eficacia y notificación.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Eficacia y Notificación (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el eficacia y notificación.",Determinará el archivo automático de las actuaciones sin recurso posible.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Eficacia y Notificación (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el eficacia y notificación.",Es competencia exclusiva del Consejo de Ministros.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,2
"En relación con el contenido específico del Eficacia y Notificación (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el eficacia y notificación.",Supone una vulneración del principio de tipicidad sancionadora.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Determinará el archivo automático de las actuaciones sin recurso posible.,1
"En relación con el contenido específico del Eficacia y Notificación (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Es competencia exclusiva del Consejo de Ministros.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el eficacia y notificación.",4
