Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
¿Cuál de las siguientes entidades no está incluida en el ámbito de aplicación del art. 2 de la Ley 39/2015 con carácter general?,Los Colegios Profesionales,Las Universidades Públicas,Las entidades de derecho privado vinculadas a una CA,"Las corporaciones de Derecho Público, en todo caso",4
"Según el art. 4, tienen capacidad de obrar ante las AAPP:",Solo las personas físicas que ostenten la mayoría de edad,"Los menores de edad para el ejercicio de sus derechos, sin excepción","Los grupos de afectados y uniones sin personalidad, cuando la Ley lo declare expresamente",Todas las entidades sin personalidad jurídica,3
"En el ámbito de la representación (art. 5), deberá acreditarse la representación mediante cualquier medio válido en Derecho que deje constancia fidedigna para:",Formular solicitudes y presentar declaraciones responsables,Entablar recursos y desistir de acciones,Renunciar a derechos y formular solicitudes,Todas las respuestas anteriores exigen constancia fidedigna,4
Si hay pluralidad de interesados en una solicitud y no expresan a quién dirigir las actuaciones (art. 7):,Se dirigirán al que figure en primer término,Se dirigirán al que figure en último término,Se dirigirán a todos de forma conjunta,Se requerirá para que en 10 días nombren a un representante,1
La comparecencia de las personas ante las oficinas públicas (art. 19):,Será siempre obligatoria,Solo será obligatoria cuando así lo prevea una norma con rango de Ley,Solo será obligatoria cuando lo prevea una norma con rango de Ley o Reglamentaria,Es obligatoria si lo determina el órgano instructor,2
"Sobre la lengua de los procedimientos (art. 15), si en un procedimiento dirigido a la AGE instruido en una CA con lengua cooficial hay varios interesados que discrepan sobre la lengua:",Se tramitará en castellano,Se tramitará en la lengua cooficial,"El procedimiento se tramitará en castellano, si bien los documentos que se dirijan a los que eligieron la cooficial se expedirán en esta",Se expedirá siempre en ambas lenguas,3
"De acuerdo con la obligación de resolver (art. 21), el plazo máximo para resolver no podrá exceder de:","3 meses, salvo que una norma con rango de Ley o normativa europea establezca uno mayor","6 meses, salvo que una norma con rango de Ley establezca uno mayor, o así venga previsto en el Derecho de la UE","6 meses, sin excepciones","3 meses, salvo que una norma reglamentaria fije hasta 6 meses",2
¿Desde cuándo se computa el plazo máximo para resolver en los procedimientos iniciados a solicitud del interesado?,Desde que la solicitud tiene entrada en el registro electrónico de la Administración u Organismo competente,Desde la fecha del acuerdo de iniciación,Desde el día siguiente a la presentación en cualquier registro,Desde que el interesado recibe la comunicación de inicio,1
La suspensión del plazo máximo para resolver es obligatoria (art. 22):,Cuando se requiera al interesado para la subsanación de deficiencias,Cuando deba obtenerse un pronunciamiento previo y preceptivo de un órgano de la UE,Cuando se soliciten informes preceptivos y determinantes del contenido de la resolución,Cuando el procedimiento deba paralizarse por causas imputables al interesado,2
La ampliación del plazo máximo para resolver y notificar (art. 23):,No puede exceder de la mitad del plazo inicialmente establecido y es recurrible,No puede exceder del plazo inicialmente establecido y no cabe recurso alguno contra el acuerdo,Puede exceder del plazo inicial si lo aprueba el órgano superior,Solo procede en procedimientos iniciados de oficio,2
"Respecto a las copias auténticas (art. 27), ¿quién garantiza la identidad del órgano que ha realizado la copia y su contenido?",La firma manuscrita del funcionario,El sello de la Administración,La firma electrónica del interesado,"El sello electrónico de la Administración, órgano o la firma electrónica del funcionario",4
El cómputo de plazos por horas (art. 30):,Se cuenta de hora en hora y de minuto en minuto desde la hora de la notificación,"Todas las horas son hábiles, incluidas las de sábados, domingos y festivos",Son hábiles todas las horas del día que formen parte de un día hábil,No se admite en la Ley 39/2015 el cómputo por horas,3
Si un plazo se fija en meses (art. 30.4):,Se computará de fecha a fecha desde el día siguiente a la notificación,Se computará de fecha a fecha desde el mismo día de la notificación,Finalizará el último día hábil del mes de vencimiento,El cómputo por meses siempre se convierte a 30 días,1
"Cuando el último día del plazo sea inhábil, se entenderá prorrogado:",Al primer día siguiente,Al primer día hábil siguiente,Al último día hábil anterior,"No se prorroga, precluye el trámite",2
La Administración está obligada a dictar resolución expresa:,"En todos los procedimientos, sin excepción","En todos, salvo en los de terminación convencional o en los supuestos de prescripción o caducidad","En todos los casos, pero en caducidad y prescripción bastará con la declaración de la circunstancia",En ninguno si ha operado el silencio administrativo,3
Identificación de los interesados (art. 9):,Los sistemas de clave concertada no son válidos para identificarse,Se admite sistema de sello electrónico de Administración Pública,"Se admite cualquier sistema que cuente con registro previo como usuario que permita garantizar su identidad, autorizado por la AGE",La identificación siempre requiere certificado electrónico cualificado,3
"Las personas jurídicas, respecto al uso de medios electrónicos (art. 14):",Pueden elegir si comunicarse o no electrónicamente,Están obligadas a relacionarse a través de medios electrónicos con las AAPP,Solo están obligadas en los procedimientos sancionadores,Están obligadas salvo que su capacidad económica no lo permita,2
¿Cuál de estos sujetos NO está obligado a relacionarse electrónicamente con las AAPP?,Las entidades sin personalidad jurídica,Quienes ejerzan una actividad profesional para la que se requiera colegiación obligatoria,Las personas físicas que no representen a un obligado,Los empleados de las AAPP para trámites inherentes a su condición de empleado público,3
La acreditación de la representación (art. 5):,Siempre debe hacerse mediante documento público,Se presumirá para los actos de mero trámite,Requiere poder notarial en todo caso,Solo es válida si se inscribe en el Registro Electrónico de Apoderamientos,2
El Registro Electrónico de Apoderamientos (art. 6):,Solo existe uno a nivel nacional (el de la AGE),Deberá ser plenamente interoperable entre todas las AAPP,Tiene una validez indefinida para los poderes inscritos,"Solo permite apoderamientos generales, no para trámites específicos",2
