Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Según la Constitución Española (Art. 140), el gobierno y administración de los Municipios corresponde a:",Las Diputaciones Provinciales.,"Sus respectivos Ayuntamientos, integrados por los Alcaldes y los Concejales.",La Comunidad Autónoma donde se ubiquen.,Las Comarcas o Mancomunidades.,2
El principio de autonomía local consagrado en la Constitución garantiza a los municipios:,Autonomía política para dictar leyes.,Autonomía para la gestión de sus respectivos intereses.,Independencia financiera absoluta del Estado.,La capacidad de establecer sus propios órganos judiciales.,2
"¿Qué entidades locales tienen, según la Ley de Bases del Régimen Local, la consideración de Entidades Locales territoriales?","El Municipio, la Provincia y la Isla.",Las Mancomunidades de Municipios exclusivamente.,Las Comarcas y las Áreas Metropolitanas solamente.,"Las Parroquias, Concejos y Aldeas.",1
La alteración de los términos municipales:,Requiere siempre Ley Orgánica del Estado.,Solo puede producirse mediante acuerdo de la Diputación Provincial.,"Deberá ser regulada por la legislación de la Comunidad Autónoma correspondiente, requiriendo en todo caso audiencia de los municipios interesados y dictamen del Consejo de Estado u órgano equivalente.",No está permitida bajo ninguna circunstancia.,3
"Según el art. 25 de la LRBRL, el Municipio ejercerá en todo caso como competencias propias, en los términos de la legislación del Estado y de las CCAA, materias como:",La defensa nacional.,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística.",La gestión del sistema penitenciario.,La emisión de moneda.,2
"En relación con el contenido específico del Administración Local (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
"En relación con el contenido específico del Administración Local (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,3
"En relación con el contenido específico del Administración Local (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Supone una vulneración del principio de tipicidad sancionadora.,2
"En relación con el contenido específico del Administración Local (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Supone una vulneración del principio de tipicidad sancionadora.,Es un trámite de carácter meramente facultativo y no vinculante.,2
"En relación con el contenido específico del Administración Local (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
"En relación con el contenido específico del Administración Local (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,2
"En relación con el contenido específico del Administración Local (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
"En relación con el contenido específico del Administración Local (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,1
"En relación con el contenido específico del Administración Local (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,3
"En relación con el contenido específico del Administración Local (Pregunta avanzada 15), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
"En relación con el contenido específico del Administración Local (Pregunta avanzada 16), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
"En relación con el contenido específico del Administración Local (Pregunta avanzada 17), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Supone una vulneración del principio de tipicidad sancionadora.,Es competencia exclusiva del Consejo de Ministros.,1
"En relación con el contenido específico del Administración Local (Pregunta avanzada 18), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Es un trámite de carácter meramente facultativo y no vinculante.,3
"En relación con el contenido específico del Administración Local (Pregunta avanzada 19), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,2
"En relación con el contenido específico del Administración Local (Pregunta avanzada 20), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el administración local.",4
